allCountries.40kr,ofb,00.063077,00.114333,00.259647,00.483864,00.705905,00.931890,01.165976,01.382688,01.578969,01.758888,01.922007,02.075096,02.209667,02.339421,02.461573,02.566595,02.665122,02.750820
allCountries.500k,ofb,00.004053,00.005306,00.007795,00.011235,00.014416,00.017155,00.019390,00.022624,00.025109,00.027418,00.030194,00.031782,00.035157,00.037991,00.038763,00.040487,00.040779,00.045201
allCountries.50k,ofb,00.077916,00.147092,00.346783,00.676948,00.999431,01.307738,01.596180,01.854573,02.080896,02.283904,02.469070,02.642361,02.795971,02.935312,03.058368,03.193600,03.305432,03.417993
allCountries.50kr,ofb,00.074840,00.136342,00.313875,00.599298,00.872800,01.155319,01.449790,01.721343,01.961626,02.185765,02.384544,02.571033,02.750313,02.907748,03.056707,03.188977,03.325306,03.437980
allCountries.50ku,ofb,00.086654,00.159603,00.359399,00.689888,01.001743,01.312991,01.599661,01.859025,02.083374,02.280536,02.462575,02.636027,02.794412,02.923965,03.056627,03.187107,03.312628,03.424387
allCountries.5k,ofb,00.010524,00.017266,00.035950,00.065684,00.095048,00.123651,00.152574,00.179974,00.203610,00.225796,00.245214,00.262846,00.278386,00.294680,00.309069,00.321325,00.334175,00.347050
allCountries,ofb,00.004864,00.005990,00.008521,00.011595,00.014176,00.016900,00.019087,00.021712,00.023687,00.025863,00.026736,00.029356,00.030854,00.033594,00.033906,00.036913,00.038576,
allCountries.40kr,qsi_000004,00.134234,00.196419,00.347245,00.554679,00.759171,00.965983,01.151819,01.333813,01.494050,01.630958,01.753435,01.862771,01.951848,02.038228,02.118305,02.187647,02.251300,02.293796
allCountries.500k,qsi_000004,00.131448,00.139110,00.144036,00.158547,00.169648,00.175918,00.187826,00.197234,00.200261,00.204762,00.209140,00.219001,00.219223,00.227495,00.233223,00.237484,00.247986,00.247523
allCountries.50k,qsi_000004,00.159765,00.250843,00.474275,00.794892,01.065713,01.308336,01.523348,01.711048,01.858110,02.003575,02.115831,02.223761,02.312836,02.399939,02.477533,02.579180,02.627092,02.683648
allCountries.50kr,qsi_000004,00.132764,00.207747,00.392746,00.652648,00.893621,01.120792,01.342373,01.548932,01.721310,01.882836,02.018067,02.140666,02.253124,02.353989,02.451447,02.526161,02.614086,02.678720
allCountries.50ku,qsi_000004,00.147584,00.235376,00.445155,00.746342,01.013159,01.247733,01.463703,01.650891,01.815728,01.956870,02.084893,02.202512,02.312300,02.389899,02.467393,02.555629,02.646471,02.710474
allCountries.5k,qsi_000004,00.029577,00.041359,00.068463,00.105522,00.137714,00.167866,00.196019,00.219022,00.233940,00.247300,00.258909,00.269460,00.277731,00.286077,00.292888,00.298635,00.303412,00.310556
allCountries,qsi_000004,00.083279,00.116806,00.108560,00.153787,00.211521,00.286529,00.294768,00.271949,00.347747,00.342317,00.397330,00.417546,00.407135,00.407250,00.383865,00.377265,00.430642,
allCountries.40kr,qsi_000008,00.134097,00.196811,00.351340,00.561104,00.763720,00.962934,01.145514,01.319202,01.466356,01.592163,01.706348,01.812130,01.896099,01.979490,02.055052,02.129673,02.183031,02.228374
allCountries.500k,qsi_000008,00.131880,00.139722,00.144622,00.159800,00.171588,00.177702,00.188173,00.199422,00.203586,00.206270,00.210515,00.223034,00.220683,00.231008,00.237321,00.240671,00.249857,00.250342
allCountries.50k,qsi_000008,00.164195,00.258453,00.487045,00.807518,01.087378,01.331669,01.548551,01.734158,01.877237,02.019635,02.140487,02.244489,02.351384,02.429502,02.491574,02.571797,02.637541,02.708282
allCountries.50kr,qsi_000008,00.140744,00.219680,00.411361,00.678820,00.925318,01.152724,01.384757,01.585514,01.765466,01.918726,02.054398,02.171013,02.292181,02.387507,02.483861,02.559715,02.645028,02.715360
allCountries.50ku,qsi_000008,00.159053,00.250886,00.469323,00.778380,01.054737,01.291652,01.519965,01.712676,01.865246,02.005482,02.135920,02.246511,02.350986,02.428515,02.512906,02.600366,02.683143,02.749722
allCountries.5k,qsi_000008,00.031576,00.044461,00.073375,00.112519,00.146003,00.177429,00.206565,00.228539,00.244108,00.259123,00.269504,00.278925,00.288084,00.295697,00.302576,00.307014,00.312439,00.318761
